"시도별","시점","주요 업종별","항목",데이터
"서울특별시","2018","김밥, 기타 간이음식점 및 포장 판매점","종사자수 (명)",9849
"서울특별시","2018","김밥, 기타 간이음식점 및 포장 판매점","매출액 (백만원)",594322
"서울특별시","2018","김밥, 기타 간이음식점 및 포장 판매점","영업비용 (백만원)",536905
"서울특별시","2018","김밥, 기타 간이음식점 및 포장 판매점","인건비 (백만원)",108576
"서울특별시","2018","김밥, 기타 간이음식점 및 포장 판매점","임차료 (백만원)",67913
"서울특별시","2018","김밥, 기타 간이음식점 및 포장 판매점","기타영업비용 (백만원)",360416
"서울특별시","2018","김밥, 기타 간이음식점 및 포장 판매점","연간급여액 (백만원)",96269
"서울특별시","2018","생맥주 및 기타 주점업","사업체수 (개)",1869
"서울특별시","2018","생맥주 및 기타 주점업","종사자수 (명)",6659
"서울특별시","2018","생맥주 및 기타 주점업","매출액 (백만원)",462573
"서울특별시","2018","생맥주 및 기타 주점업","영업비용 (백만원)",413965
"서울특별시","2018","생맥주 및 기타 주점업","인건비 (백만원)",73132
"서울특별시","2018","생맥주 및 기타 주점업","임차료 (백만원)",61493
"서울특별시","2018","생맥주 및 기타 주점업","기타영업비용 (백만원)",279340
"서울특별시","2018","생맥주 및 기타 주점업","연간급여액 (백만원)",68452
"서울특별시","2018","커피 및 기타 비알코올 음료점업","사업체수 (개)",4064
"서울특별시","2018","커피 및 기타 비알코올 음료점업","종사자수 (명)",20405
"서울특별시","2018","커피 및 기타 비알코올 음료점업","매출액 (백만원)",946136
"서울특별시","2018","커피 및 기타 비알코올 음료점업","영업비용 (백만원)",852711
"서울특별시","2018","커피 및 기타 비알코올 음료점업","인건비 (백만원)",198962
"서울특별시","2018","커피 및 기타 비알코올 음료점업","임차료 (백만원)",159045
"서울특별시","2018","커피 및 기타 비알코올 음료점업","기타영업비용 (백만원)",494704
"서울특별시","2018","커피 및 기타 비알코올 음료점업","연간급여액 (백만원)",192059
"서울특별시","2018","자동차 전문 수리업","사업체수 (개)",852
"서울특별시","2018","자동차 전문 수리업","종사자수 (명)",3371
"서울특별시","2018","자동차 전문 수리업","매출액 (백만원)",448290
"서울특별시","2018","자동차 전문 수리업","영업비용 (백만원)",406251
"서울특별시","2018","자동차 전문 수리업","인건비 (백만원)",102100
"서울특별시","2018","자동차 전문 수리업","임차료 (백만원)",29893
"서울특별시","2018","자동차 전문 수리업","기타영업비용 (백만원)",274258
"서울특별시","2018","자동차 전문 수리업","연간급여액 (백만원)",83196
"서울특별시","2018","두발 미용업","사업체수 (개)",1219
"서울특별시","2018","두발 미용업","종사자수 (명)",7850
"서울특별시","2018","두발 미용업","매출액 (백만원)",395110
"서울특별시","2018","두발 미용업","영업비용 (백만원)",359587
"서울특별시","2018","두발 미용업","인건비 (백만원)",96270
"서울특별시","2018","두발 미용업","임차료 (백만원)",56210
"서울특별시","2018","두발 미용업","기타영업비용 (백만원)",207107
"서울특별시","2018","두발 미용업","연간급여액 (백만원)",85546
"서울특별시","2018","가정용 세탁업","사업체수 (개)",919
"서울특별시","2018","가정용 세탁업","종사자수 (명)",1756
"서울특별시","2018","가정용 세탁업","매출액 (백만원)",97268
"서울특별시","2018","가정용 세탁업","영업비용 (백만원)",80426
"서울특별시","2018","가정용 세탁업","인건비 (백만원)",14560
"서울특별시","2018","가정용 세탁업","임차료 (백만원)",9718
"서울특별시","2018","가정용 세탁업","기타영업비용 (백만원)",56148
"서울특별시","2018","가정용 세탁업","연간급여액 (백만원)",12445
"서울특별시","2018","기타 프랜차이즈","사업체수 (개)",3611
"서울특별시","2018","기타 프랜차이즈","종사자수 (명)",15710
"서울특별시","2018","기타 프랜차이즈","매출액 (백만원)",1244848
"서울특별시","2018","기타 프랜차이즈","영업비용 (백만원)",1175690
"서울특별시","2018","기타 프랜차이즈","인건비 (백만원)",187012
"서울특별시","2018","기타 프랜차이즈","임차료 (백만원)",142272
"서울특별시","2018","기타 프랜차이즈","기타영업비용 (백만원)",846406
"서울특별시","2018","기타 프랜차이즈","연간급여액 (백만원)",174159
"서울특별시","2019","체인화 편의점","사업체수 (개)",7756
"서울특별시","2019","체인화 편의점","종사자수 (명)",38372
"서울특별시","2019","체인화 편의점","매출액 (백만원)",4586809
"서울특별시","2019","체인화 편의점","영업비용 (백만원)",4447588
"서울특별시","2019","체인화 편의점","매출원가 (백만원)",3167903
"서울특별시","2019","체인화 편의점","인건비 (백만원)",393400
"서울특별시","2019","체인화 편의점","임차료 (백만원)",236924
"서울특별시","2019","체인화 편의점","기타영업비용 (백만원)",649362
"서울특별시","2019","체인화 편의점","연간급여액 (백만원)",371494
"서울특별시","2019","문구용품 및 회화용품 소매업","사업체수 (개)",362
"서울특별시","2019","문구용품 및 회화용품 소매업","종사자수 (명)",1000
"서울특별시","2019","문구용품 및 회화용품 소매업","매출액 (백만원)",132643
"서울특별시","2019","문구용품 및 회화용품 소매업","영업비용 (백만원)",123303
"서울특별시","2019","문구용품 및 회화용품 소매업","매출원가 (백만원)",85608
"서울특별시","2019","문구용품 및 회화용품 소매업","인건비 (백만원)",13828
"서울특별시","2019","문구용품 및 회화용품 소매업","임차료 (백만원)",12090
"서울특별시","2019","문구용품 및 회화용품 소매업","기타영업비용 (백만원)",11777
"서울특별시","2019","문구용품 및 회화용품 소매업","연간급여액 (백만원)",13098
"서울특별시","2019","의약품 및 의료용품 소매업","사업체수 (개)",1053
"서울특별시","2019","의약품 및 의료용품 소매업","종사자수 (명)",3095
"서울특별시","2019","의약품 및 의료용품 소매업","매출액 (백만원)",902040
"서울특별시","2019","의약품 및 의료용품 소매업","영업비용 (백만원)",857364
"서울특별시","2019","의약품 및 의료용품 소매업","매출원가 (백만원)",695193
"서울특별시","2019","의약품 및 의료용품 소매업","인건비 (백만원)",65018
"서울특별시","2019","의약품 및 의료용품 소매업","임차료 (백만원)",44357
"서울특별시","2019","의약품 및 의료용품 소매업","기타영업비용 (백만원)",52796
"서울특별시","2019","의약품 및 의료용품 소매업","연간급여액 (백만원)",57309
"서울특별시","2019","안경 및 렌즈 소매업","사업체수 (개)",628
"서울특별시","2019","안경 및 렌즈 소매업","종사자수 (명)",1773
"서울특별시","2019","안경 및 렌즈 소매업","매출액 (백만원)",194550
"서울특별시","2019","안경 및 렌즈 소매업","영업비용 (백만원)",169844
"서울특별시","2019","안경 및 렌즈 소매업","매출원가 (백만원)",89156
"서울특별시","2019","안경 및 렌즈 소매업","인건비 (백만원)",33056
"서울특별시","2019","안경 및 렌즈 소매업","임차료 (백만원)",32032
"서울특별시","2019","안경 및 렌즈 소매업","기타영업비용 (백만원)",15600
"서울특별시","2019","안경 및 렌즈 소매업","연간급여액 (백만원)",32239
"서울특별시","2019","한식 음식점업","사업체수 (개)",5875
"서울특별시","2019","한식 음식점업","종사자수 (명)",26194
"서울특별시","2019","한식 음식점업","매출액 (백만원)",2160016
"서울특별시","2019","한식 음식점업","영업비용 (백만원)",1958290
"서울특별시","2019","한식 음식점업","매출원가 (백만원)",992434
"서울특별시","2019","한식 음식점업","인건비 (백만원)",434938
"서울특별시","2019","한식 음식점업","임차료 (백만원)",268749
"서울특별시","2019","한식 음식점업","기타영업비용 (백만원)",262170
"서울특별시","2019","한식 음식점업","연간급여액 (백만원)",421384
"서울특별시","2019","외국식 음식점업","사업체수 (개)",1806
"서울특별시","2019","외국식 음식점업","종사자수 (명)",9494
"서울특별시","2019","외국식 음식점업","매출액 (백만원)",718347
"서울특별시","2019","외국식 음식점업","영업비용 (백만원)",648788
"서울특별시","2019","외국식 음식점업","매출원가 (백만원)",299478
"서울특별시","2019","외국식 음식점업","인건비 (백만원)",168058
"서울특별시","2019","외국식 음식점업","임차료 (백만원)",92447
"서울특별시","2019","외국식 음식점업","기타영업비용 (백만원)",88805
"서울특별시","2019","외국식 음식점업","연간급여액 (백만원)",161764
"서울특별시","2019","제과점업","사업체수 (개)",1451
"서울특별시","2019","제과점업","종사자수 (명)",7347
"서울특별시","2019","제과점업","매출액 (백만원)",613294
"서울특별시","2019","제과점업","영업비용 (백만원)",556336
"서울특별시","2019","제과점업","매출원가 (백만원)",329603
"서울특별시","2019","제과점업","인건비 (백만원)",89743
"서울특별시","2019","제과점업","임차료 (백만원)",72741
"서울특별시","2019","제과점업","기타영업비용 (백만원)",64248
"서울특별시","2019","제과점업","연간급여액 (백만원)",89294
"서울특별시","2019","피자, 햄버거, 샌드위치 및 유사 음식점업","사업체수 (개)",2314
"서울특별시","2019","피자, 햄버거, 샌드위치 및 유사 음식점업","종사자수 (명)",12217
"서울특별시","2019","피자, 햄버거, 샌드위치 및 유사 음식점업","매출액 (백만원)",818662
"서울특별시","2019","피자, 햄버거, 샌드위치 및 유사 음식점업","영업비용 (백만원)",731932
"서울특별시","2019","피자, 햄버거, 샌드위치 및 유사 음식점업","매출원가 (백만원)",397043
"서울특별시","2019","피자, 햄버거, 샌드위치 및 유사 음식점업","인건비 (백만원)",159863
"서울특별시","2019","피자, 햄버거, 샌드위치 및 유사 음식점업","임차료 (백만원)",76692
"서울특별시","2019","피자, 햄버거, 샌드위치 및 유사 음식점업","기타영업비용 (백만원)",98334
"서울특별시","2019","피자, 햄버거, 샌드위치 및 유사 음식점업","연간급여액 (백만원)",153815
"서울특별시","2019","치킨전문점","사업체수 (개)",3761
"서울특별시","2019","치킨전문점","종사자수 (명)",11913
"서울특별시","2019","치킨전문점","매출액 (백만원)",1062086
"서울특별시","2019","치킨전문점","영업비용 (백만원)",943774
"서울특별시","2019","치킨전문점","매출원가 (백만원)",597262
"서울특별시","2019","치킨전문점","인건비 (백만원)",125632
"서울특별시","2019","치킨전문점","임차료 (백만원)",103048
"서울특별시","2019","치킨전문점","기타영업비용 (백만원)",117833
"서울특별시","2019","치킨전문점","연간급여액 (백만원)",116151
"서울특별시","2019","김밥, 기타 간이음식점 및 포장 판매점","사업체수 (개)",2533
"서울특별시","2019","김밥, 기타 간이음식점 및 포장 판매점","종사자수 (명)",9820
"서울특별시","2019","김밥, 기타 간이음식점 및 포장 판매점","매출액 (백만원)",647422
"서울특별시","2019","김밥, 기타 간이음식점 및 포장 판매점","영업비용 (백만원)",568869
"서울특별시","2019","김밥, 기타 간이음식점 및 포장 판매점","매출원가 (백만원)",278470
"서울특별시","2019","김밥, 기타 간이음식점 및 포장 판매점","인건비 (백만원)",120851
"서울특별시","2019","김밥, 기타 간이음식점 및 포장 판매점","임차료 (백만원)",80079
"서울특별시","2019","김밥, 기타 간이음식점 및 포장 판매점","기타영업비용 (백만원)",89469
"서울특별시","2019","김밥, 기타 간이음식점 및 포장 판매점","연간급여액 (백만원)",117634
"서울특별시","2019","생맥주 및 기타 주점업","사업체수 (개)",1557
"서울특별시","2019","생맥주 및 기타 주점업","종사자수 (명)",5540
"서울특별시","2019","생맥주 및 기타 주점업","매출액 (백만원)",386392
"서울특별시","2019","생맥주 및 기타 주점업","영업비용 (백만원)",336047
"서울특별시","2019","생맥주 및 기타 주점업","매출원가 (백만원)",166489
"서울특별시","2019","생맥주 및 기타 주점업","인건비 (백만원)",72360
"서울특별시","2019","생맥주 및 기타 주점업","임차료 (백만원)",55289
"서울특별시","2019","생맥주 및 기타 주점업","기타영업비용 (백만원)",41908
"서울특별시","2019","생맥주 및 기타 주점업","연간급여액 (백만원)",71242
"서울특별시","2019","커피 및 기타 비알코올 음료점업","사업체수 (개)",4190
"서울특별시","2019","커피 및 기타 비알코올 음료점업","종사자수 (명)",20921
"서울특별시","2019","커피 및 기타 비알코올 음료점업","매출액 (백만원)",1017871
"서울특별시","2019","커피 및 기타 비알코올 음료점업","영업비용 (백만원)",893251
"서울특별시","2019","커피 및 기타 비알코올 음료점업","매출원가 (백만원)",381566
"서울특별시","2019","커피 및 기타 비알코올 음료점업","인건비 (백만원)",213076
"서울특별시","2019","커피 및 기타 비알코올 음료점업","임차료 (백만원)",169711
"서울특별시","2019","커피 및 기타 비알코올 음료점업","기타영업비용 (백만원)",128898
"서울특별시","2019","커피 및 기타 비알코올 음료점업","연간급여액 (백만원)",209055
"서울특별시","2019","자동차 전문 수리업","사업체수 (개)",828
"서울특별시","2019","자동차 전문 수리업","종사자수 (명)",3549
"서울특별시","2019","자동차 전문 수리업","매출액 (백만원)",418409
"서울특별시","2019","자동차 전문 수리업","영업비용 (백만원)",370666
"서울특별시","2019","자동차 전문 수리업","매출원가 (백만원)",192236
"서울특별시","2019","자동차 전문 수리업","인건비 (백만원)",100511
"서울특별시","2019","자동차 전문 수리업","임차료 (백만원)",34610
"서울특별시","2019","자동차 전문 수리업","기타영업비용 (백만원)",43308
"서울특별시","2019","자동차 전문 수리업","연간급여액 (백만원)",95620
"서울특별시","2019","두발 미용업","사업체수 (개)",1233
"서울특별시","2019","두발 미용업","종사자수 (명)",7806
"서울특별시","2019","두발 미용업","매출액 (백만원)",393117
"서울특별시","2019","두발 미용업","영업비용 (백만원)",340409
"서울특별시","2019","두발 미용업","매출원가 (백만원)",76617
"서울특별시","2019","두발 미용업","인건비 (백만원)",133138
"서울특별시","2019","두발 미용업","임차료 (백만원)",59846
"서울특별시","2019","두발 미용업","기타영업비용 (백만원)",70808
"서울특별시","2019","두발 미용업","연간급여액 (백만원)",117159
"서울특별시","2019","가정용 세탁업","사업체수 (개)",960
"서울특별시","2019","가정용 세탁업","종사자수 (명)",1812
"서울특별시","2019","가정용 세탁업","매출액 (백만원)",109133
"서울특별시","2019","가정용 세탁업","영업비용 (백만원)",85250
"서울특별시","2019","가정용 세탁업","매출원가 (백만원)",31940
"서울특별시","2019","가정용 세탁업","인건비 (백만원)",12958
"서울특별시","2019","가정용 세탁업","임차료 (백만원)",13416
"서울특별시","2019","가정용 세탁업","기타영업비용 (백만원)",26937
"서울특별시","2019","가정용 세탁업","연간급여액 (백만원)",11662
"서울특별시","2019","기타 프랜차이즈","사업체수 (개)",4308
"서울특별시","2019","기타 프랜차이즈","종사자수 (명)",19705
"서울특별시","2019","기타 프랜차이즈","매출액 (백만원)",1339784
"서울특별시","2019","기타 프랜차이즈","영업비용 (백만원)",1195404
"서울특별시","2019","기타 프랜차이즈","매출원가 (백만원)",620284
"서울특별시","2019","기타 프랜차이즈","인건비 (백만원)",225739
"서울특별시","2019","기타 프랜차이즈","임차료 (백만원)",174248
"서울특별시","2019","기타 프랜차이즈","기타영업비용 (백만원)",175133
"서울특별시","2019","기타 프랜차이즈","연간급여액 (백만원)",213662
"서울특별시","2020","체인화 편의점","사업체수 (개)",8339
"서울특별시","2020","체인화 편의점","종사자수 (명)",37870
"서울특별시","2020","체인화 편의점","매출액 (백만원)",4529143
"서울특별시","2020","체인화 편의점","영업비용 (백만원)",4492911
"서울특별시","2020","체인화 편의점","매출원가 (백만원)",3162613
"서울특별시","2020","체인화 편의점","인건비 (백만원)",392549
"서울특별시","2020","체인화 편의점","임차료 (백만원)",214376
"서울특별시","2020","체인화 편의점","기타영업비용 (백만원)",723373
"서울특별시","2020","체인화 편의점","연간급여액 (백만원)",375779
"서울특별시","2020","문구용품 및 회화용품 소매업","사업체수 (개)",356
"서울특별시","2020","문구용품 및 회화용품 소매업","종사자수 (명)",936
"서울특별시","2020","문구용품 및 회화용품 소매업","매출액 (백만원)",139197
"서울특별시","2020","문구용품 및 회화용품 소매업","영업비용 (백만원)",131155
"서울특별시","2020","문구용품 및 회화용품 소매업","매출원가 (백만원)",92955
"서울특별시","2020","문구용품 및 회화용품 소매업","인건비 (백만원)",12724
"서울특별시","2020","문구용품 및 회화용품 소매업","임차료 (백만원)",11629
"서울특별시","2020","문구용품 및 회화용품 소매업","기타영업비용 (백만원)",13848
"서울특별시","2020","문구용품 및 회화용품 소매업","연간급여액 (백만원)",11621
"서울특별시","2020","의약품 및 의료용품 소매업","사업체수 (개)",1112
"서울특별시","2020","의약품 및 의료용품 소매업","종사자수 (명)",3160
"서울특별시","2020","의약품 및 의료용품 소매업","매출액 (백만원)",1038714
"서울특별시","2020","의약품 및 의료용품 소매업","영업비용 (백만원)",973961
"서울특별시","2020","의약품 및 의료용품 소매업","매출원가 (백만원)",797463
"서울특별시","2020","의약품 및 의료용품 소매업","인건비 (백만원)",68656
"서울특별시","2020","의약품 및 의료용품 소매업","임차료 (백만원)",39554
"서울특별시","2020","의약품 및 의료용품 소매업","기타영업비용 (백만원)",68290
"서울특별시","2020","의약품 및 의료용품 소매업","연간급여액 (백만원)",57110
"서울특별시","2020","안경 및 렌즈 소매업","사업체수 (개)",615
"서울특별시","2020","안경 및 렌즈 소매업","종사자수 (명)",1605
"서울특별시","2020","안경 및 렌즈 소매업","매출액 (백만원)",189812
"서울특별시","2020","안경 및 렌즈 소매업","영업비용 (백만원)",176027
"서울특별시","2020","안경 및 렌즈 소매업","매출원가 (백만원)",94720
"서울특별시","2020","안경 및 렌즈 소매업","인건비 (백만원)",27786
"서울특별시","2020","안경 및 렌즈 소매업","임차료 (백만원)",30033
"서울특별시","2020","안경 및 렌즈 소매업","기타영업비용 (백만원)",23489
"서울특별시","2020","안경 및 렌즈 소매업","연간급여액 (백만원)",25726
"서울특별시","2020","한식 음식점업","사업체수 (개)",6476
"서울특별시","2020","한식 음식점업","종사자수 (명)",23604
"서울특별시","2020","한식 음식점업","매출액 (백만원)",2028771
"서울특별시","2020","한식 음식점업","영업비용 (백만원)",1911026
"서울특별시","2020","한식 음식점업","매출원가 (백만원)",907094
"서울특별시","2020","한식 음식점업","인건비 (백만원)",379674
"서울특별시","2020","한식 음식점업","임차료 (백만원)",249448
"서울특별시","2020","한식 음식점업","기타영업비용 (백만원)",374810
"서울특별시","2020","한식 음식점업","연간급여액 (백만원)",370200
"서울특별시","2020","외국식 음식점업","사업체수 (개)",1910
"서울특별시","2020","외국식 음식점업","종사자수 (명)",8756
"서울특별시","2020","외국식 음식점업","매출액 (백만원)",673144
"서울특별시","2020","외국식 음식점업","영업비용 (백만원)",648076
"서울특별시","2020","외국식 음식점업","매출원가 (백만원)",274016
"서울특별시","2020","외국식 음식점업","인건비 (백만원)",152133
"서울특별시","2020","외국식 음식점업","임차료 (백만원)",87898
"서울특별시","2020","외국식 음식점업","기타영업비용 (백만원)",134029
"서울특별시","2020","외국식 음식점업","연간급여액 (백만원)",148552
"서울특별시","2020","제과점업","사업체수 (개)",1500
"서울특별시","2020","제과점업","종사자수 (명)",7250
"서울특별시","2020","제과점업","매출액 (백만원)",638690
"서울특별시","2020","제과점업","영업비용 (백만원)",607897
"서울특별시","2020","제과점업","매출원가 (백만원)",374209
"서울특별시","2020","제과점업","인건비 (백만원)",78802
"서울특별시","2020","제과점업","임차료 (백만원)",66184
"서울특별시","2020","제과점업","기타영업비용 (백만원)",88703
"서울특별시","2020","제과점업","연간급여액 (백만원)",77025
"서울특별시","2020","피자, 햄버거, 샌드위치 및 유사 음식점업","사업체수 (개)",2541
"서울특별시","2020","피자, 햄버거, 샌드위치 및 유사 음식점업","종사자수 (명)",11379
"서울특별시","2020","피자, 햄버거, 샌드위치 및 유사 음식점업","매출액 (백만원)",895666
"서울특별시","2020","피자, 햄버거, 샌드위치 및 유사 음식점업","영업비용 (백만원)",813601
"서울특별시","2020","피자, 햄버거, 샌드위치 및 유사 음식점업","매출원가 (백만원)",414130
"서울특별시","2020","피자, 햄버거, 샌드위치 및 유사 음식점업","인건비 (백만원)",143153
"서울특별시","2020","피자, 햄버거, 샌드위치 및 유사 음식점업","임차료 (백만원)",81125
"서울특별시","2020","피자, 햄버거, 샌드위치 및 유사 음식점업","기타영업비용 (백만원)",175194
"서울특별시","2020","피자, 햄버거, 샌드위치 및 유사 음식점업","연간급여액 (백만원)",139522
"서울특별시","2020","치킨전문점","사업체수 (개)",3975
"서울특별시","2020","치킨전문점","종사자수 (명)",11060
"서울특별시","2020","치킨전문점","매출액 (백만원)",1078840
"서울특별시","2020","치킨전문점","영업비용 (백만원)",930803
"서울특별시","2020","치킨전문점","매출원가 (백만원)",526005
"서울특별시","2020","치킨전문점","인건비 (백만원)",112669
"서울특별시","2020","치킨전문점","임차료 (백만원)",93500
"서울특별시","2020","치킨전문점","기타영업비용 (백만원)",198628
"서울특별시","2020","치킨전문점","연간급여액 (백만원)",106614
"서울특별시","2020","김밥, 기타 간이음식점 및 포장 판매점","사업체수 (개)",2984
"서울특별시","2020","김밥, 기타 간이음식점 및 포장 판매점","종사자수 (명)",9484
"서울특별시","2020","김밥, 기타 간이음식점 및 포장 판매점","매출액 (백만원)",721463
"서울특별시","2020","김밥, 기타 간이음식점 및 포장 판매점","영업비용 (백만원)",643186
"서울특별시","2020","김밥, 기타 간이음식점 및 포장 판매점","매출원가 (백만원)",315599
"서울특별시","2020","김밥, 기타 간이음식점 및 포장 판매점","인건비 (백만원)",108099
"서울특별시","2020","김밥, 기타 간이음식점 및 포장 판매점","임차료 (백만원)",72399
"서울특별시","2020","김밥, 기타 간이음식점 및 포장 판매점","기타영업비용 (백만원)",147089
"서울특별시","2020","김밥, 기타 간이음식점 및 포장 판매점","연간급여액 (백만원)",101646
"서울특별시","2020","생맥주 및 기타 주점업","사업체수 (개)",1486
"서울특별시","2020","생맥주 및 기타 주점업","종사자수 (명)",4703
"서울특별시","2020","생맥주 및 기타 주점업","매출액 (백만원)",309715
"서울특별시","2020","생맥주 및 기타 주점업","영업비용 (백만원)",274050
"서울특별시","2020","생맥주 및 기타 주점업","매출원가 (백만원)",121592
"서울특별시","2020","생맥주 및 기타 주점업","인건비 (백만원)",53383
"서울특별시","2020","생맥주 및 기타 주점업","임차료 (백만원)",44446
"서울특별시","2020","생맥주 및 기타 주점업","기타영업비용 (백만원)",54629
"서울특별시","2020","생맥주 및 기타 주점업","연간급여액 (백만원)",49820
"서울특별시","2020","커피 및 기타 비알코올 음료점업","사업체수 (개)",4526
"서울특별시","2020","커피 및 기타 비알코올 음료점업","종사자수 (명)",18853
"서울특별시","2020","커피 및 기타 비알코올 음료점업","매출액 (백만원)",940329
"서울특별시","2020","커피 및 기타 비알코올 음료점업","영업비용 (백만원)",860228
"서울특별시","2020","커피 및 기타 비알코올 음료점업","매출원가 (백만원)",315110
"서울특별시","2020","커피 및 기타 비알코올 음료점업","인건비 (백만원)",195618
"서울특별시","2020","커피 및 기타 비알코올 음료점업","임차료 (백만원)",163770
"서울특별시","2020","커피 및 기타 비알코올 음료점업","기타영업비용 (백만원)",185730
"서울특별시","2020","커피 및 기타 비알코올 음료점업","연간급여액 (백만원)",184124
"서울특별시","2020","자동차 전문 수리업","사업체수 (개)",687
"서울특별시","2020","자동차 전문 수리업","종사자수 (명)",3087
"서울특별시","2020","자동차 전문 수리업","매출액 (백만원)",395822
